pattern,support
"[1, 2, 3, 4, 5, 7, 9, 6, 8, 10, 11, 13, 12]",2.4038504611
"[1, 2, 3, 4, 5, 7, 9, 6, 8, 10, 11]",3.7376224026
"[1, 2, 3, 4, 5, 7, 9, 6, 8, 10]",4.1082885840
"[1, 2, 3, 4, 5, 7, 9, 6, 8]",4.7717277458
"[1, 2, 3, 4, 5, 7, 9, 8, 6]",9.1449610722
"[1, 2, 3, 4, 5, 8, 10, 9, 7, 6]",2.4132004672
"[1, 2, 3, 4, 5, 8, 6, 7, 10, 9, 11]",2.2303761642
"[1, 2, 3, 4, 5, 8, 6, 7, 10, 9]",4.6000418345
"[1, 2, 3, 4, 5, 8, 6, 7, 9, 10]",3.0564398682
"[1, 2, 3, 4, 5, 8, 6, 7, 9]",10.8908294273
"[1, 2, 3, 4, 5, 8, 6, 7]",26.9858004210
"[1, 2, 3, 4, 5, 8, 6, 9, 10, 7]",2.2895003436
"[1, 2, 3, 4, 5, 8, 6, 9, 7]",2.0617602525
"[1, 2, 3, 4, 5, 8, 7, 10, 6, 9]",2.2647553320
"[1, 2, 3, 4, 5, 8, 7, 6, 10, 9]",3.4166686401
"[1, 2, 3, 4, 5, 8, 7, 6, 9, 10, 11]",2.2614949464
"[1, 2, 3, 4, 5, 8, 7, 6, 9, 10]",5.5286063902
"[1, 2, 3, 4, 5, 8, 7, 6, 9, 11, 10]",2.4989063314
"[1, 2, 3, 4, 5, 8, 7, 6, 9]",9.3340300291
"[1, 2, 3, 4, 5, 8, 7, 6]",28.7550668294
"[1, 2, 3, 4, 5, 8, 7, 9, 10, 6]",2.0964820849
"[1, 2, 3, 4, 5, 8, 7, 9, 6]",4.1097520586
"[1, 2, 3, 4, 5, 8, 9, 10, 6, 7]",2.5537916378
"[1, 2, 3, 4, 5, 8, 9, 6, 7]",5.2068137744
"[1, 2, 3, 4, 5, 8, 9, 7, 6, 10]",2.0048430457
"[1, 2, 3, 4, 5, 8, 9, 7, 6]",8.3842289835
"[1, 2, 3, 4, 5, 9, 6, 7, 8]",4.3513310224
"[1, 2, 3, 4, 5, 9, 6, 8, 7]",3.4407175951
"[1, 2, 3, 4, 5, 9, 7, 6, 8, 10]",3.3261583151
"[1, 2, 3, 4, 5, 9, 7, 6, 8]",4.7885031631
"[1, 2, 3, 4, 5, 9, 7, 8, 6]",2.9514210280
"[1, 2, 3, 4, 5, 9, 8, 6, 7]",3.0910837223
"[1, 2, 3, 4, 5, 9, 8, 7, 6]",3.4668648830
"[1, 2, 3, 4, 5]",1124.8988937189
"[1, 2, 3, 4, 6, 5, 7, 10, 11, 9, 8]",2.1697698876
"[1, 2, 3, 4, 6, 5, 7, 10, 9, 8]",2.9931277818
"[1, 2, 3, 4, 6, 5, 7, 11, 12, 10, 9, 8]",2.1698640392
"[1, 2, 3, 4, 6, 5, 7, 8, 10, 11, 9]",2.2328403843
"[1, 2, 3, 4, 6, 5, 7, 8, 10, 9, 11, 12]",3.3565892486
"[1, 2, 3, 4, 6, 5, 7, 8, 10, 9, 11]",5.4579033246
"[1, 2, 3, 4, 6, 5, 7, 8, 10, 9]",8.1680083083
"[1, 2, 3, 4, 6, 5, 7, 8, 9, 10, 11, 12]",3.1343993129
"[1, 2, 3, 4, 6, 5, 7, 8, 9, 10, 11]",7.9548306817
"[1, 2, 3, 4, 6, 5, 7, 8, 9, 10]",16.9710422231
"[1, 2, 3, 4, 6, 5, 7, 8, 9, 11, 10, 12]",2.2218171173
"[1, 2, 3, 4, 6, 5, 7, 8, 9, 11, 10]",4.7398396403
"[1, 2, 3, 4, 6, 5, 7, 8, 9]",38.4799382620
"[1, 2, 3, 4, 6, 5, 7, 8]",63.5102071666
"[1, 2, 3, 4, 6, 5, 7, 9, 10, 8]",5.1957920824
"[1, 2, 3, 4, 6, 5, 7, 9, 8, 10, 11]",2.0587419837
"[1, 2, 3, 4, 6, 5, 7, 9, 8, 10]",5.8965999149
"[1, 2, 3, 4, 6, 5, 7, 9, 8, 11, 10]",2.7257435242
"[1, 2, 3, 4, 6, 5, 7, 9, 8]",14.7612748880
"[1, 2, 3, 4, 6, 5, 7]",104.3337668002
"[1, 2, 3, 4, 6, 5, 8, 10, 9, 7]",3.2785001022
"[1, 2, 3, 4, 6, 5, 8, 7, 9, 10]",2.9603933816
"[1, 2, 3, 4, 6, 5, 8, 7, 9]",9.5064598628
"[1, 2, 3, 4, 6, 5, 8, 7]",21.2234408935
"[1, 2, 3, 4, 6, 5, 8, 9, 10, 7]",6.5838235736
"[1, 2, 3, 4, 6, 5, 8, 9, 11, 7, 10]",2.6888673646
"[1, 2, 3, 4, 6, 5, 8, 9, 7]",2.9767693911
"[1, 2, 3, 4, 6, 5, 9, 7, 8]",2.5825187270
"[1, 2, 3, 4, 6, 5, 9, 8, 7]",5.3618860389
"[1, 2, 3, 4, 6, 5]",296.0609903707
"[1, 2, 3, 4, 6, 7, 5, 8, 10, 9]",2.2500695867
"[1, 2, 3, 4, 6, 7, 5, 8, 9, 10, 11, 12]",2.7693398610
"[1, 2, 3, 4, 6, 7, 5, 8, 9, 10, 11]",3.8933846315
"[1, 2, 3, 4, 6, 7, 5, 8, 9, 10]",4.3352885936
"[1, 2, 3, 4, 6, 7, 5, 8, 9]",8.2859575675
"[1, 2, 3, 4, 6, 7, 5, 8]",16.5847448921
"[1, 2, 3, 4, 6, 7, 5, 9, 8]",5.4671488972
"[1, 2, 3, 4, 6, 7, 5]",71.0979207392
"[1, 2, 3, 4, 6, 7, 8, 5, 9]",3.2094373522
"[1, 2, 3, 4, 6, 7, 8, 5]",15.2961212477
"[1, 2, 3, 4, 6, 7, 8, 9, 5]",3.2504435316
"[1, 2, 3, 4, 6, 7, 9, 8, 5]",2.7740177871
"[1, 2, 3, 4, 6, 8, 5, 7, 9, 10, 11]",4.4343518935
"[1, 2, 3, 4, 6, 8, 5, 7, 9, 10, 12, 11]",3.3512613548
"[1, 2, 3, 4, 6, 8, 5, 7, 9, 10]",5.7693228141
"[1, 2, 3, 4, 6, 8, 5, 7, 9]",6.6226591345
"[1, 2, 3, 4, 6, 8, 5, 7]",9.1593822387
"[1, 2, 3, 4, 6, 8, 7, 5, 9, 10, 11]",2.9445469004
"[1, 2, 3, 4, 6, 8, 7, 5, 9, 10]",3.3487263956
"[1, 2, 3, 4, 6, 8, 7, 5, 9]",4.0355796635
"[1, 2, 3, 4, 6, 8, 7, 5]",20.8417838303
"[1, 2, 3, 4, 6, 8, 9, 5, 7]",2.5468814539
"[1, 2, 3, 4, 6, 8, 9, 7, 5]",5.1557151235
"[1, 2, 3, 4, 6, 9, 10, 8, 5, 7]",2.1877049823
"[1, 2, 3, 4, 6, 9, 7, 8, 5]",2.1668171162
"[1, 2, 3, 4, 6, 9, 8, 5, 7]",2.8035228040
"[1, 2, 3, 4, 6, 9, 8, 7, 5]",5.6842948639
"[1, 2, 3, 4, 7, 5, 6, 8, 9, 10, 11]",2.0367912799
"[1, 2, 3, 4, 7, 5, 6, 8, 9, 10]",4.1703907522
"[1, 2, 3, 4, 7, 5, 6, 8, 9]",6.9942730425
"[1, 2, 3, 4, 7, 5, 6, 8]",20.3372266567
"[1, 2, 3, 4, 7, 5, 6, 9, 8, 10]",2.2303761642
"[1, 2, 3, 4, 7, 5, 6, 9, 8]",6.8634359756
"[1, 2, 3, 4, 7, 5, 6]",50.6358627057
"[1, 2, 3, 4, 7, 5, 8, 6]",5.2968868864
"[1, 2, 3, 4, 7, 5, 8, 9, 6, 10]",2.6521385637
"[1, 2, 3, 4, 7, 5, 8, 9, 6]",4.0101320188
"[1, 2, 3, 4, 7, 6, 5, 10, 9, 8]",2.2303545464
"[1, 2, 3, 4, 7, 6, 5, 8, 10, 9]",3.0514598995
"[1, 2, 3, 4, 7, 6, 5, 8, 9, 10, 11]",2.3819896371
"[1, 2, 3, 4, 7, 6, 5, 8, 9, 10]",3.8483432514
"[1, 2, 3, 4, 7, 6, 5, 8, 9]",7.6679154335
"[1, 2, 3, 4, 7, 6, 5, 8]",15.8343265036
"[1, 2, 3, 4, 7, 6, 5, 9, 8, 10]",2.3653520465
"[1, 2, 3, 4, 7, 6, 5, 9, 8]",6.3576875192
"[1, 2, 3, 4, 7, 6, 5]",57.4901066819
"[1, 2, 3, 4, 7, 6, 8, 5]",7.4506137536
"[1, 2, 3, 4, 7, 6, 8, 9, 5]",2.0964820849
"[1, 2, 3, 4, 7, 6, 9, 5, 8]",2.2647553320
"[1, 2, 3, 4, 7, 8, 5, 6]",6.7082061469
"[1, 2, 3, 4, 7, 8, 6, 5, 9, 10]",2.0186571207
"[1, 2, 3, 4, 7, 8, 6, 5, 9]",3.5829369919
"[1, 2, 3, 4, 7, 8, 6, 5]",15.4036944494
"[1, 2, 3, 4, 7, 8, 9, 5, 6]",2.5537916378
"[1, 2, 3, 4, 7, 8, 9, 6, 5]",4.2832104658
"[1, 2, 3, 4, 7, 9, 8, 5, 6]",4.7275838470
"[1, 2, 3, 4, 7, 9, 8, 6, 5]",5.1366081820
"[1, 2, 3, 4, 8, 5, 6, 7, 9]",3.2413609381
"[1, 2, 3, 4, 8, 5, 6, 7]",7.5738520795
"[1, 2, 3, 4, 8, 5, 7, 6]",3.4407175951
"[1, 2, 3, 4, 8, 6, 5, 7, 9]",3.9008918150
"[1, 2, 3, 4, 8, 6, 5, 7]",5.3632117250
"[1, 2, 3, 4, 8, 6, 7, 5]",6.0905279213
"[1, 2, 3, 4, 8, 6, 7, 9, 5]",2.2884201634
"[1, 2, 3, 4, 8, 7, 5, 6]",7.8922563589
"[1, 2, 3, 4, 8, 7, 6, 5]",9.4430829362
"[1, 2, 3, 4, 8, 9, 7, 5, 6]",3.1043680805
"[1, 2, 3, 4, 9, 8, 6, 5, 7]",2.6973275902
"[1, 2, 3, 4]",2200.6007470877
"[1, 2, 3, 5, 4, 6, 10, 11, 9, 8, 7]",2.1698640392
"[1, 2, 3, 5, 4, 6, 10, 9, 7, 8]",2.4653631940
"[1, 2, 3, 5, 4, 6, 10, 9, 8, 7]",2.9748064681
"[1, 2, 3, 5, 4, 6, 7, 8, 10, 11, 9]",2.7632825639
"[1, 2, 3, 5, 4, 6, 7, 8, 10, 9, 11]",3.5528639092
"[1, 2, 3, 5, 4, 6, 7, 8, 10, 9, 12, 11]",2.0221375722
"[1, 2, 3, 5, 4, 6, 7, 8, 10, 9]",10.9001673976
"[1, 2, 3, 5, 4, 6, 7, 8, 9, 10, 11]",4.2231794464
"[1, 2, 3, 5, 4, 6, 7, 8, 9, 10]",11.3191415706
"[1, 2, 3, 5, 4, 6, 7, 8, 9]",27.1174185007
"[1, 2, 3, 5, 4, 6, 7, 8]",59.7619997296
"[1, 2, 3, 5, 4, 6, 7, 9, 10, 8]",2.2328403843
"[1, 2, 3, 5, 4, 6, 7, 9, 11, 10, 8]",3.0884196237
"[1, 2, 3, 5, 4, 6, 7, 9, 8, 10, 11]",5.2204652854
"[1, 2, 3, 5, 4, 6, 7, 9, 8, 10]",8.9026212693
"[1, 2, 3, 5, 4, 6, 7, 9, 8]",14.5661749140
"[1, 2, 3, 5, 4, 6, 7]",120.1108378173
"[1, 2, 3, 5, 4, 6, 8, 10, 9, 7]",2.4558634703
"[1, 2, 3, 5, 4, 6, 8, 7, 10, 9, 11]",2.7197883278
"[1, 2, 3, 5, 4, 6, 8, 7, 10, 9]",4.6709189251
"[1, 2, 3, 5, 4, 6, 8, 7, 9, 10]",3.7477938918
"[1, 2, 3, 5, 4, 6, 8, 7, 9, 11, 10]",2.3301572230
"[1, 2, 3, 5, 4, 6, 8, 7, 9]",10.7175660756
"[1, 2, 3, 5, 4, 6, 8, 7]",35.0695782383
"[1, 2, 3, 5, 4, 6, 8, 9, 10, 7]",2.2230666248
"[1, 2, 3, 5, 4, 6, 8, 9, 7, 10]",2.6545972723
"[1, 2, 3, 5, 4, 6, 8, 9, 7]",7.5692055208
"[1, 2, 3, 5, 4, 6, 9, 10, 8, 7]",2.1697698876
"[1, 2, 3, 5, 4, 6, 9, 7, 8, 10]",2.1878312220
"[1, 2, 3, 5, 4, 6, 9, 7, 8]",3.2857135207
"[1, 2, 3, 5, 4, 6, 9, 8, 7]",9.0556018768
"[1, 2, 3, 5, 4, 6]",199.8265802853
"[1, 2, 3, 5, 4, 7, 6, 8, 9, 10]",4.8595812633
"[1, 2, 3, 5, 4, 7, 6, 8, 9, 11, 10]",2.2546779747
"[1, 2, 3, 5, 4, 7, 6, 8, 9]",8.0935650872
"[1, 2, 3, 5, 4, 7, 6, 8]",19.1908882942
"[1, 2, 3, 5, 4, 7, 6, 9, 8]",3.1053306559
"[1, 2, 3, 5, 4, 7, 6]",43.5165993506
"[1, 2, 3, 5, 4, 7, 8, 10, 6, 9]",2.6888673646
"[1, 2, 3, 5, 4, 7, 8, 6]",7.8351446312
"[1, 2, 3, 5, 4, 7, 8, 9, 6]",6.5838235736
"[1, 2, 3, 5, 4, 7, 9, 8, 6]",6.5460650937
"[1, 2, 3, 5, 4, 8, 6, 7]",5.1694639821
"[1, 2, 3, 5, 4, 8, 7, 6]",9.4491540505
"[1, 2, 3, 5, 4, 8, 7, 9, 6]",2.7965616256
"[1, 2, 3, 5, 4, 9, 8, 7, 6]",2.1275146986
"[1, 2, 3, 5, 4]",567.0495861330
"[1, 2, 3, 5, 6, 4, 7, 8, 9, 10, 11]",3.7056346824
"[1, 2, 3, 5, 6, 4, 7, 8, 9, 10]",6.5131973439
"[1, 2, 3, 5, 6, 4, 7, 8, 9]",8.4833564952
"[1, 2, 3, 5, 6, 4, 7, 8]",16.9777710149
"[1, 2, 3, 5, 6, 4, 7, 9, 8, 10]",2.0192050053
"[1, 2, 3, 5, 6, 4, 7, 9, 8]",5.5136173222
"[1, 2, 3, 5, 6, 4, 7]",30.7407494188
"[1, 2, 3, 5, 6, 4, 8, 7]",5.4671488972
"[1, 2, 3, 5, 6, 4, 8, 9, 7]",2.2035056475
"[1, 2, 3, 5, 6, 4]",134.6603935880
"[1, 2, 3, 5, 6, 7, 4, 8, 9]",3.6219766483
"[1, 2, 3, 5, 6, 7, 4, 8]",5.1403125816
"[1, 2, 3, 5, 6, 7, 4]",27.4849339292
"[1, 2, 3, 5, 6, 7, 8, 4]",4.8868845607
"[1, 2, 3, 5, 6, 8, 7, 4]",6.3669954679
"[1, 2, 3, 5, 6, 8, 9, 7, 4]",3.6636235341
"[1, 2, 3, 5, 7, 4, 6, 8, 9, 10]",6.3473874592
"[1, 2, 3, 5, 7, 4, 6, 8, 9, 11, 10]",3.9385494024
"[1, 2, 3, 5, 7, 4, 6, 8, 9]",9.0995827254
"[1, 2, 3, 5, 7, 4, 6, 8]",11.2479236802
"[1, 2, 3, 5, 7, 4, 6]",19.4676815101
"[1, 2, 3, 5, 7, 6, 4, 8, 9, 10, 11]",2.5460268046
"[1, 2, 3, 5, 7, 6, 4, 8, 9, 10]",3.9317851536
"[1, 2, 3, 5, 7, 6, 4, 8, 9]",5.7814761448
"[1, 2, 3, 5, 7, 6, 4, 8]",9.3095097110
"[1, 2, 3, 5, 7, 6, 4, 9, 8]",2.3522830459
"[1, 2, 3, 5, 7, 6, 4]",46.2217535847
"[1, 2, 3, 5, 7, 6, 8, 4]",2.3653800860
"[1, 2, 3, 5, 7, 8, 4, 6]",6.2206023076
"[1, 2, 3, 5, 7, 8, 6, 4]",9.6575569579
"[1, 2, 3, 5, 8, 4, 6, 7]",2.0259176137
"[1, 2, 3, 5, 8, 4, 7, 6]",2.3256108833
"[1, 2, 3, 5, 8, 6, 7, 4]",6.1586683432
"[1, 2, 3, 5, 8, 7, 4, 6]",5.8045861088
"[1, 2, 3, 5, 8, 7, 6, 4]",9.8040422387
"[1, 2, 3, 5, 8, 7, 9, 6, 4]",2.2158536507
"[1, 2, 3, 5, 8, 9, 4, 7, 6]",2.9103212168
"[1, 2, 3, 5, 8, 9, 6, 7, 4]",2.8566401517
"[1, 2, 3, 5, 8, 9, 7, 4, 6]",2.7600493623
"[1, 2, 3, 5, 9, 7, 4, 6, 8]",2.7192278235
"[1, 2, 3, 6, 4, 5, 7, 10, 8, 9]",2.1498597174
"[1, 2, 3, 6, 4, 5, 7, 8, 10, 9]",2.0711315681
"[1, 2, 3, 6, 4, 5, 7, 8, 9, 10, 11]",3.2598274207
"[1, 2, 3, 6, 4, 5, 7, 8, 9, 10]",6.2261796224
"[1, 2, 3, 6, 4, 5, 7, 8, 9]",11.1449201826
"[1, 2, 3, 6, 4, 5, 7, 8]",22.0857232766
"[1, 2, 3, 6, 4, 5, 7, 9, 8, 10, 11]",2.3337209390
"[1, 2, 3, 6, 4, 5, 7, 9, 8, 10]",2.9076055082
"[1, 2, 3, 6, 4, 5, 7, 9, 8]",7.7524535141
"[1, 2, 3, 6, 4, 5, 7]",42.9261992334
"[1, 2, 3, 6, 4, 5, 8, 7, 9]",3.6653227774
"[1, 2, 3, 6, 4, 5, 8, 7]",10.9552885952
"[1, 2, 3, 6, 4, 5, 8, 9, 7]",3.1893079330
"[1, 2, 3, 6, 4, 5]",93.4276227109
"[1, 2, 3, 6, 4, 7, 5]",10.3144626300
"[1, 2, 3, 6, 4, 7, 8, 5, 9]",2.6521385637
"[1, 2, 3, 6, 4, 7, 8, 5]",5.4912965498
"[1, 2, 3, 6, 4, 8, 7, 5]",3.6672572441
"[1, 2, 3, 6, 5, 4, 7, 8, 9, 10]",4.4376141778
"[1, 2, 3, 6, 5, 4, 7, 8, 9, 11, 10]",2.7919004784
"[1, 2, 3, 6, 5, 4, 7, 8, 9]",11.3597010727
"[1, 2, 3, 6, 5, 4, 7, 8]",18.3904305736
"[1, 2, 3, 6, 5, 4, 7, 9, 8]",5.5138006791
"[1, 2, 3, 6, 5, 4, 7]",34.7673221459
"[1, 2, 3, 6, 5, 4, 8, 7, 9]",3.3153976087
"[1, 2, 3, 6, 5, 4, 8, 7]",8.6343584557
"[1, 2, 3, 6, 5, 4, 9, 8, 7]",2.9644147150
"[1, 2, 3, 6, 5, 4]",111.7337340479
"[1, 2, 3, 6, 5, 7, 4, 8]",2.4612274109
"[1, 2, 3, 6, 5, 7, 4]",15.3109690303
"[1, 2, 3, 6, 5, 7, 8, 4]",8.5046827882
"[1, 2, 3, 6, 5, 8, 4, 7]",3.1872582338
"[1, 2, 3, 6, 5, 8, 7, 4]",3.6317212044
"[1, 2, 3, 6, 5, 9, 8, 7, 4]",2.0475864807
"[1, 2, 3, 6, 7, 4, 5, 8]",2.7422426418
"[1, 2, 3, 6, 7, 4, 5]",16.3464809658
"[1, 2, 3, 6, 7, 5, 4, 8, 10, 9]",2.3981944771
"[1, 2, 3, 6, 7, 5, 4, 8, 9, 10]",2.2768047583
"[1, 2, 3, 6, 7, 5, 4, 8, 9]",4.6747963847
"[1, 2, 3, 6, 7, 5, 4, 8]",6.2389610046
